Designator,Mid X(mm),Mid Y(mm),Layer,Rotation
C1,126.0000,-135.0000,Top,0.00
C2,130.0000,-109.0000,Top,0.00
C6,159.0000,-115.5000,Top,0.00
C7,159.0000,-112.5000,Top,0.00
D1,126.0000,-123.0000,Top,90.00
D2,162.0000,-97.0000,Top,0.00
D3,138.0000,-97.0000,Top,180.00
F1,126.0000,-111.0000,Top,90.00
Q1,126.0000,-117.0000,Top,0.00
Q2,132.0000,-129.0000,Top,90.00
R1,126.0000,-129.0000,Top,90.00
R2,152.0000,-115.0000,Top,0.00
R4,155.0000,-109.0000,Top,0.00
R5,151.0000,-109.0000,Top,0.00
R6,147.0000,-109.0000,Top,0.00
U2,159.0000,-109.0000,Top,0.00
