Designator,Mid X(mm),Mid Y(mm),Layer,Rotation
C1,133.0000,-136.0000,Top,0.00
C2,133.0000,-133.0000,Top,0.00
C3,154.0000,-136.0000,Top,0.00
C4,161.0000,-136.0000,Top,0.00
C5,117.0000,-109.0000,Top,0.00
C6,183.0000,-109.0000,Top,0.00
C7,137.0000,-119.0000,Top,0.00
D1,160.0000,-119.0000,Top,0.00
J1,119.0000,-99.0000,Top,180.00
J2,137.0000,-99.0000,Top,180.00
J3,155.0000,-99.0000,Top,180.00
J4,173.0000,-99.0000,Top,180.00
J5,191.0000,-99.0000,Top,180.00
J6,109.0000,-141.0000,Top,0.00
J7,127.0000,-141.0000,Top,0.00
J8,145.0000,-141.0000,Top,0.00
J9,163.0000,-141.0000,Top,0.00
J10,181.0000,-141.0000,Top,0.00
J11,124.6000,-111.1100,Top,90.00
J12,124.6000,-128.8900,Top,90.00
J13,185.4000,-125.0000,Top,-90.00
J14,150.0000,-106.0000,Top,90.00
L1,147.0000,-136.0000,Top,0.00
Q1,177.0000,-135.0000,Top,0.00
R1,143.0000,-133.0000,Top,90.00
R2,151.0000,-133.0000,Top,90.00
R3,165.0000,-119.0000,Top,90.00
R4,147.0000,-119.0000,Top,90.00
R5,142.0000,-119.0000,Top,90.00
U1,140.0000,-136.0000,Top,0.00
U2,109.0000,-109.0000,Top,0.00
U3,191.0000,-109.0000,Top,0.00
