Designator,Mid X(mm),Mid Y(mm),Layer,Rotation
C1,147.3000,-123.0000,Top,0.00
C2,154.7000,-113.0400,Top,135.00
C3,143.0400,-115.3000,Top,-135.00
C4,145.3000,-126.9600,Top,-45.00
C5,156.9600,-124.7000,Top,45.00
D1,156.1500,-110.8800,Top,135.00
D2,140.8800,-113.8500,Top,-135.00
D3,143.8500,-129.1200,Top,-45.00
D4,159.1200,-126.1500,Top,45.00
D5,147.5000,-115.5000,Top,90.00
D6,152.5000,-115.5000,Top,90.00
Q1,150.0000,-120.0000,Top,0.00
R1,155.0000,-119.0000,Top,90.00
R2,145.0000,-119.0000,Top,90.00
R3,163.8600,-114.2600,Top,22.50
R4,144.2600,-106.1400,Top,112.50
R5,136.1400,-125.7400,Top,-157.50
