Designator,Mid X(mm),Mid Y(mm),Layer,Rotation
C1,138.9228,-114.2000,Top,0.00
C2,151.4000,-114.2000,Top,0.00
C3,156.3000,-114.2000,Top,0.00
C4,162.0000,-114.2000,Top,0.00
C5,132.9528,-106.1701,Top,0.00
C6,136.0767,-106.2350,Top,0.00
C7,165.8000,-133.7500,Top,0.00
C8,166.1000,-127.0000,Top,0.00
C9,168.1000,-133.7500,Top,0.00
C10,165.8000,-130.2500,Top,0.00
C11,169.3000,-130.2500,Top,0.00
C12,172.8000,-130.2500,Top,0.00
C13,130.6000,-127.0000,Top,0.00
C14,162.8000,-127.0000,Top,0.00
C15,146.4156,-114.2000,Top,0.00
C16,161.3000,-133.7500,Top,0.00
D1,157.0544,-109.1757,Top,0.00
D2,164.4445,-108.3066,Top,0.00
F1,150.2000,-109.2500,Top,0.00
J2,130.0000,-138.0000,Top,0.00
J3,156.0000,-102.0000,Top,180.00
J4,137.0000,-138.0000,Top,0.00
J5,143.5000,-138.0000,Top,0.00
J6,150.0000,-138.0000,Top,0.00
J7,156.5000,-138.0000,Top,0.00
J8,166.0000,-138.0000,Top,0.00
J9,165.0000,-102.0000,Top,180.00
L1,132.5000,-109.0000,Top,0.00
Q1,142.1849,-109.7160,Top,0.00
R1,171.6000,-127.0000,Top,0.00
R2,125.0000,-106.6565,Top,0.00
R3,128.7815,-105.5000,Top,0.00
R4,125.0000,-132.5000,Top,0.00
R5,128.5000,-132.5000,Top,0.00
R6,150.2168,-126.8368,Top,0.00
R7,142.6000,-130.5000,Top,0.00
R8,147.1000,-130.5000,Top,0.00
R9,150.9126,-130.9092,Top,0.00
R10,141.8000,-127.0000,Top,0.00
R11,146.3000,-127.0000,Top,0.00
R12,175.0000,-127.0000,Top,0.00
R13,162.4000,-130.5000,Top,0.00
R14,154.6000,-132.5000,Top,0.00
R15,159.1000,-132.5000,Top,0.00
U1,127.0000,-109.0000,Top,0.00
U2,169.4000,-109.0000,Top,0.00
U3,134.6000,-128.0000,Top,0.00
U4,134.8000,-133.5000,Top,0.00
U5,125.2500,-128.0000,Top,0.00
U6,156.4874,-127.5908,Top,0.00
