Designator,Quantity,Manufacturer Part Number,Footprint,Comment
F1,1,MF-MSMF300/16-2,Fuse_1812_4532Metric,PTC 3A/16V 1812
F2,1,1812L300/16MR,Fuse_1812_4532Metric,PTC 3A/16V 1812
F3,1,1812L300/16DR,Fuse_1812_4532Metric,PTC 3A/16V 1812
F4,1,1812L260/16DR,Fuse_1812_4532Metric,PTC 3A/16V 1812
F5,1,0ZCG0300FF2C,Fuse_1812_4532Metric,PTC 3A/16V 1812
F6,1,MF-MSMF250/16-2,Fuse_1812_4532Metric,PTC 3A/16V 1812
D1,1,SFH4715AS,IR_Emitter_OSRAM_OSLON_Black_SFH4725S,IR-emitter OSLON Black
D2,1,SFH4716AS,IR_Emitter_OSRAM_OSLON_Black_SFH4725S,IR-emitter OSLON Black
D3,1,SFH4725AS,IR_Emitter_OSRAM_OSLON_Black_SFH4725S,IR-emitter OSLON Black
D4,1,SFH4775S,IR_Emitter_OSRAM_OSLON_Black_SFH4725S,IR-emitter OSLON Black
D5,1,SFH4770S,IR_Emitter_OSRAM_OSLON_Black_SFH4725S,IR-emitter OSLON Black
