Designator,Mid X,Mid Y,Layer,Rotation
FB2,116.0000,-128.0000,Top,0.0000
FB1,99.0000,-128.0000,Top,0.0000
L2,201.0000,-106.0000,Top,0.0000
L1,184.0000,-106.0000,Top,0.0000
R4,167.0000,-106.0000,Top,0.0000
R3,150.0000,-106.0000,Top,0.0000
R2,133.0000,-106.0000,Top,0.0000
R1,116.0000,-106.0000,Top,0.0000
C15,99.0000,-106.0000,Top,0.0000
C14,201.0000,-84.0000,Top,0.0000
C13,184.0000,-84.0000,Top,0.0000
C12,167.0000,-84.0000,Top,0.0000
C11,150.0000,-84.0000,Top,0.0000
C10,133.0000,-84.0000,Top,0.0000
C9,116.0000,-84.0000,Top,0.0000
C8,99.0000,-84.0000,Top,0.0000
C7,201.0000,-62.0000,Top,0.0000
C6,184.0000,-62.0000,Top,0.0000
C5,167.0000,-62.0000,Top,0.0000
C4,150.0000,-62.0000,Top,0.0000
C3,133.0000,-62.0000,Top,0.0000
C2,116.0000,-62.0000,Top,0.0000
C1,99.0000,-62.0000,Top,0.0000
