Designator,Mid X(mm),Mid Y(mm),Layer,Rotation
C1,166.5000,-84.5000,Top,0.00
C2,183.0000,-84.5000,Top,0.00
C3,199.5000,-84.5000,Top,0.00
C4,100.5000,-105.5000,Top,0.00
C5,117.0000,-105.5000,Top,0.00
C6,133.5000,-105.5000,Top,0.00
C7,150.0000,-105.5000,Top,0.00
C8,166.5000,-105.5000,Top,0.00
D1,183.0000,-105.5000,Top,0.00
D2,199.5000,-105.5000,Top,0.00
L1,150.0000,-126.5000,Top,0.00
Q1,100.5000,-126.5000,Top,0.00
Q2,117.0000,-126.5000,Top,0.00
Q3,133.5000,-126.5000,Top,0.00
R1,100.5000,-63.5000,Top,0.00
R2,117.0000,-63.5000,Top,0.00
R3,133.5000,-63.5000,Top,0.00
R4,150.0000,-63.5000,Top,0.00
R5,166.5000,-63.5000,Top,0.00
R6,183.0000,-63.5000,Top,0.00
R7,199.5000,-63.5000,Top,0.00
R8,100.5000,-84.5000,Top,0.00
R9,117.0000,-84.5000,Top,0.00
R10,133.5000,-84.5000,Top,0.00
R11,150.0000,-84.5000,Top,0.00
U1,166.5000,-126.5000,Top,0.00
U2,183.0000,-126.5000,Top,0.00
U3,199.5000,-126.5000,Top,0.00
