Designator,Mid X(mm),Mid Y(mm),Layer,Rotation
C1,141.0000,-116.5000,Top,0.00
C2,137.0000,-116.5000,Top,0.00
C3,154.0000,-116.5000,Top,0.00
C4,162.0000,-116.5000,Top,0.00
C5,167.0000,-116.5000,Top,0.00
C6,175.0000,-116.5000,Top,0.00
J1,131.7000,-110.7200,Bottom,-90.00
J2,124.0800,-129.2800,Bottom,-90.00
J3,135.0000,-126.0000,Top,0.00
J4,142.0000,-126.0000,Top,0.00
J5,149.0000,-126.0000,Top,0.00
J6,156.0000,-126.0000,Top,0.00
J7,123.0000,-114.0000,Top,0.00
J8,177.0000,-126.0000,Top,0.00
R1,149.0000,-116.0000,Top,0.00
R2,145.0000,-116.0000,Top,0.00
U1,158.0000,-119.5000,Top,0.00
U2,171.0000,-119.5000,Top,0.00
