Designator,Mid X(mm),Mid Y(mm),Layer,Rotation
C1,135.0000,-134.5000,Top,0.00
C2,150.0000,-139.5000,Top,0.00
C3,133.5000,-139.5000,Top,0.00
C4,146.3000,-106.5000,Top,90.00
C5,153.7000,-106.5000,Top,90.00
C6,125.9100,-100.4900,Top,135.00
C7,169.5100,-95.9100,Top,45.00
C8,130.4900,-144.0900,Top,45.00
C9,174.0900,-139.5100,Top,135.00
D1,129.4300,-95.4900,Top,135.00
D2,174.5100,-99.4300,Top,45.00
D3,125.4900,-140.5700,Top,45.00
D4,170.5700,-144.5100,Top,135.00
D5,166.0700,-75.8300,Top,0.00
D6,150.0000,-73.0000,Top,0.00
D7,133.9300,-75.8300,Top,0.00
D8,108.5000,-97.9300,Top,0.00
D9,107.4000,-139.8600,Top,0.00
D10,166.0700,-164.1700,Top,0.00
J1,150.0000,-159.0000,Top,0.00
L1,146.5000,-135.0000,Top,0.00
Q1,150.0000,-100.0900,Top,0.00
R1,164.5000,-134.0000,Top,90.00
R2,164.5000,-137.5000,Top,90.00
R3,164.5000,-141.0000,Top,90.00
R4,155.0000,-100.0000,Top,90.00
R5,163.0000,-84.2900,Top,70.00
R6,137.0000,-84.2900,Top,20.00
R7,115.5600,-136.0600,Top,25.00
U1,153.0000,-135.0900,Top,0.00
U2,150.1600,-106.5000,Top,0.00
