Designator,Mid X(mm),Mid Y(mm),Layer,Rotation
U1,102.5000,-72.0000,Top,0.00
U2,121.5000,-72.0000,Top,0.00
U3,140.5000,-72.0000,Top,0.00
U4,159.5000,-72.0000,Top,0.00
U5,178.5000,-72.0000,Top,0.00
U6,197.5000,-72.0000,Top,0.00
U7,102.5000,-96.0000,Top,0.00
U8,121.5000,-96.0000,Top,0.00
U9,140.5000,-96.0000,Top,0.00
U10,159.5000,-96.0000,Top,0.00
U11,178.5000,-96.0000,Top,0.00
U12,197.5000,-96.0000,Top,0.00
U13,102.5000,-120.0000,Top,0.00
U14,121.5000,-120.0000,Top,0.00
U15,140.5000,-120.0000,Top,0.00
U16,159.5000,-120.0000,Top,0.00
U17,178.5000,-120.0000,Top,0.00
U18,197.5000,-120.0000,Top,0.00
