Designator,Mid X,Mid Y,Layer,Rotation
J17,120.5000,-201.0000,Top,0.0000
J16,182.0000,-177.2100,Top,0.0000
J15,118.0000,-177.0500,Top,0.0000
J14,180.7500,-156.0000,Top,0.0000
J13,113.0000,-156.0000,Top,0.0000
J12,178.0000,-136.0000,Top,0.0000
J11,117.0000,-136.0000,Top,0.0000
J10,179.0000,-116.0000,Top,0.0000
J9,116.0000,-116.0000,Top,0.0000
J8,181.0000,-96.0000,Top,0.0000
J7,110.3800,-96.0000,Top,90.0000
J6,175.6500,-76.0000,Top,90.0000
J5,93.8700,-76.0000,Top,90.0000
J4,164.2200,-56.0000,Top,90.0000
J3,101.4900,-56.0000,Top,90.0000
J2,174.3800,-36.0000,Top,90.0000
J1,115.4600,-36.0000,Top,90.0000
