Designator,Quantity,Manufacturer Part Number,Footprint,Comment
D1,1,SFH4715AS,IR_Emitter_OSRAM_OSLON_Black_SFH4725S,OSRAM 860nm OSLON ~780mW/sr (original)
D2,1,SFH4715S,IR_Emitter_OSRAM_OSLON_Black_SFH4725S,OSRAM 850nm OSLON Nanostack
D3,1,SFH4715,IR_Emitter_OSRAM_OSLON_Black_SFH4725S,OSRAM 850nm OSLON 90°
D4,1,SFH4716AS,IR_Emitter_OSRAM_OSLON_Black_SFH4725S,OSRAM 850nm OSLON 150°
D5,1,SFH4716S,IR_Emitter_OSRAM_OSLON_Black_SFH4725S,OSRAM 850nm OSLON Nanostack 150°
D6,1,VSMY98545,IR_Emitter_OSRAM_OSLON_Black_SFH4725S,Vishay 850nm ±45° 350mW/sr@1A 1600@5Apuls (PULS=bäst)
D7,1,VSMY2853G,IR_Emitter_OSRAM_OSLON_Black_SFH4725S,Vishay 850nm ±28° (svagare)
D8,1,VSMY3850,LED_PLCC-2_3.4x3.0mm_AK,Vishay 850nm
D9,1,VSMY1850X01,LED_PLCC-2_3.4x3.0mm_AK,Vishay 850nm hög-hastighet
D10,1,L1I0-0850050200000,LED_PLCC-2_3.4x3.0mm_AK,Lumileds LUXEON IR 850nm 50° (HÖG intensitet)
D11,1,L1I0-0850060000000,LED_PLCC-2_3.4x3.0mm_AK,Lumileds LUXEON IR 850nm 60° (hög intensitet)
D12,1,L1I0-0850090000000,LED_PLCC-2_3.4x3.0mm_AK,"Lumileds LUXEON IR 850nm 90° 750mW/sr (VF 3,2V→1LED/gren)"
D13,1,L1I0-0850150000000,LED_PLCC-2_3.4x3.0mm_AK,Lumileds LUXEON IR 850nm 150° 335mW/sr
D14,1,L1I0-0850955800000,LED_PLCC-2_3.4x3.0mm_AK,Lumileds LUXEON IR 850nm 95×58° asymmetrisk
D15,1,RS-3535MWAR,LED_PLCC-2_3.4x3.0mm_AK,NationStar 850nm 3535 (verifiera IR ej RGB!)
D16,1,RS-3535MWAM,LED_PLCC-2_3.4x3.0mm_AK,NationStar 850nm 3535
D17,1,15435385AA350,LED_PLCC-2_3.4x3.0mm_AK,Würth WL-SIMW 855nm 3535
D18,1,15435394A3050,LED_PLCC-2_3.4x3.0mm_AK,Würth 850nm 3535
D19,1,IN-P32ZTIR,LED_PLCC-2_3.4x3.0mm_AK,Inolux 850nm 3535
D20,1,HIR19-21C/L11,LED_PLCC-2_3.4x3.0mm_AK,Everlight 850nm
