Designator,Mid X,Mid Y,Layer,Rotation
D20,28.000,-20.000,top,0.0
D19,14.000,-20.000,top,0.0
D18,0.000,-20.000,top,0.0
D17,-14.000,-20.000,top,0.0
D16,-28.000,-20.000,top,0.0
D15,28.000,-7.000,top,0.0
D14,14.000,-7.000,top,0.0
D13,0.000,-7.000,top,0.0
D12,-14.000,-7.000,top,0.0
D11,-28.000,-7.000,top,0.0
D10,28.000,6.000,top,0.0
D9,14.000,6.000,top,0.0
D8,0.000,6.000,top,0.0
D7,-14.000,6.000,top,0.0
D6,-28.000,6.000,top,0.0
D5,28.000,19.000,top,0.0
D4,14.000,19.000,top,0.0
D3,0.000,19.000,top,0.0
D2,-14.000,19.000,top,0.0
D1,-28.000,19.000,top,0.0
