Designator,Mid X(mm),Mid Y(mm),Layer,Rotation
C1,147.4000,-116.4000,Top,0.00
C2,145.7700,-127.9500,Top,45.00
C3,142.0500,-115.7700,Top,135.00
C4,154.2300,-112.0500,Top,45.00
C5,157.9500,-124.2300,Top,135.00
D1,142.0500,-124.2300,Top,45.00
D2,145.7700,-112.0500,Top,135.00
D3,157.9500,-115.7700,Top,45.00
D4,154.2300,-127.9500,Top,135.00
D5,150.0000,-106.5000,Top,0.00
D6,150.0000,-133.5000,Top,0.00
Q1,152.6000,-116.4000,Top,0.00
R1,147.4000,-123.6000,Top,0.00
R2,152.6000,-123.6000,Top,0.00
R3,161.5000,-120.0000,Top,90.00
R4,138.5000,-120.0000,Top,90.00
