Designator,Mid X(mm),Mid Y(mm),Layer,Rotation
C1,125.7374,-113.5453,Top,0.00
C2,147.5408,-114.2000,Top,0.00
C3,152.3123,-114.2000,Top,0.00
C4,164.5406,-114.2000,Top,0.00
C5,133.1500,-113.7239,Top,0.00
C6,129.2626,-112.5953,Top,0.00
C7,168.9659,-106.5380,Top,0.00
C8,134.0791,-125.0456,Top,0.00
C9,132.5010,-133.9182,Top,0.00
C10,169.8341,-111.4620,Top,0.00
C11,135.0341,-130.4620,Top,0.00
C12,138.3201,-132.8921,Top,0.00
C13,125.0000,-124.9547,Top,0.00
C14,130.4500,-128.0000,Top,0.00
C15,137.9000,-114.5033,Top,0.00
C16,155.8623,-131.1361,Top,0.00
D1,158.4229,-110.7203,Top,0.00
D2,163.0645,-106.0350,Top,0.00
F1,151.0001,-109.2335,Top,0.00
J2,130.9500,-138.0000,Top,0.00
J3,155.8500,-102.0000,Top,180.00
J4,139.6500,-138.0000,Top,0.00
J5,147.3500,-138.0000,Top,0.00
J6,155.0500,-138.0000,Top,0.00
J7,132.4500,-102.0000,Top,180.00
J8,162.7500,-138.0000,Top,0.00
J9,167.5500,-102.0000,Top,180.00
J10,144.1500,-102.0000,Top,180.00
L1,133.5000,-110.0000,Top,0.00
Q1,143.0966,-108.4385,Top,0.00
R1,170.8000,-127.0000,Top,0.00
R2,125.0000,-106.9346,Top,0.00
R3,128.6831,-107.0691,Top,0.00
R4,125.0000,-132.5000,Top,0.00
R5,129.3000,-132.5000,Top,0.00
R6,150.2168,-126.8368,Top,0.00
R7,142.6000,-130.5000,Top,0.00
R8,147.1000,-130.5000,Top,0.00
R9,150.9126,-130.9092,Top,0.00
R10,141.8000,-127.0000,Top,0.00
R11,146.3000,-127.0000,Top,0.00
R12,175.0000,-127.0000,Top,0.00
R13,163.0842,-130.0854,Top,0.00
R14,155.2656,-132.9438,Top,0.00
R15,159.1000,-132.5000,Top,0.00
U1,127.5000,-110.0000,Top,0.00
U2,169.4000,-109.0000,Top,0.00
U3,134.6000,-128.0000,Top,0.00
U4,135.3201,-132.8921,Top,0.00
U5,125.2500,-128.0000,Top,0.00
U6,156.4874,-127.5908,Top,0.00
