Designator,Mid X(mm),Mid Y(mm),Layer,Rotation
C1,140.0000,-106.0000,Top,0.00
C2,140.0000,-100.0000,Top,0.00
C3,162.0000,-101.0000,Top,0.00
C4,176.0000,-120.0000,Top,90.00
C5,168.4000,-101.6000,Top,135.00
C6,150.0000,-94.0000,Top,180.00
C7,131.6000,-101.6000,Top,-135.00
C8,124.0000,-120.0000,Top,-90.00
C9,131.6000,-138.4000,Top,-45.00
C10,150.0000,-146.0000,Top,0.00
C11,168.4000,-138.4000,Top,45.00
D1,184.0000,-120.0000,Top,90.00
D2,174.0000,-96.0000,Top,135.00
D3,150.0000,-86.0000,Top,180.00
D4,126.0000,-96.0000,Top,-135.00
D5,116.0000,-120.0000,Top,-90.00
D6,126.0000,-144.0000,Top,-45.00
D7,150.0000,-154.0000,Top,0.00
D8,174.0000,-144.0000,Top,45.00
D9,191.6000,-102.8000,Top,112.50
D10,132.8000,-78.4000,Top,-157.50
D11,108.4000,-137.2000,Top,-67.50
D12,167.2000,-161.6000,Top,22.50
L1,154.0000,-103.0000,Top,0.00
Q1,163.0000,-107.0000,Top,0.00
R1,149.0000,-98.0000,Top,90.00
R2,149.0000,-107.0000,Top,90.00
R3,138.0000,-111.0000,Top,0.00
R4,167.0000,-108.0000,Top,90.00
R5,183.3000,-106.2000,Top,112.50
R6,136.2000,-86.7000,Top,-157.50
R7,116.7000,-133.8000,Top,-67.50
R8,163.8000,-153.3000,Top,22.50
U1,146.0000,-103.0000,Top,0.00
U2,191.0000,-120.0000,Top,90.00
U3,179.0000,-91.0000,Top,135.00
U4,150.0000,-79.0000,Top,180.00
U5,121.0000,-91.0000,Top,-135.00
U6,109.0000,-120.0000,Top,-90.00
U7,121.0000,-149.0000,Top,-45.00
U8,150.0000,-161.0000,Top,0.00
U9,179.0000,-149.0000,Top,45.00
