Designator,Mid X(mm),Mid Y(mm),Layer,Rotation
C1,106.0000,-110.0000,Top,0.00
C2,106.0000,-104.0000,Top,0.00
C3,120.0000,-111.0000,Top,0.00
C4,182.0000,-114.5000,Top,0.00
C5,182.0000,-117.5000,Top,0.00
C6,108.0000,-96.0000,Top,0.00
C7,191.0000,-96.0000,Top,0.00
C8,108.0000,-145.0000,Top,0.00
C9,191.0000,-145.0000,Top,0.00
D1,117.0000,-90.0000,Top,0.00
D2,177.0000,-90.0000,Top,0.00
D3,117.0000,-151.0000,Top,0.00
D4,177.0000,-151.0000,Top,0.00
D5,146.0000,-88.0000,Top,0.00
D6,154.0000,-88.0000,Top,0.00
J1,145.0000,-154.0000,Top,0.00
L1,118.0000,-107.0000,Top,0.00
Q1,150.0000,-93.0000,Top,0.00
R1,114.0000,-112.0000,Top,90.00
R2,123.0000,-104.0000,Top,90.00
R3,126.0000,-111.0000,Top,90.00
R4,144.0000,-93.0000,Top,90.00
R5,140.0000,-88.0000,Top,90.00
R6,160.0000,-88.0000,Top,90.00
U1,111.0000,-107.0000,Top,0.00
U2,178.0000,-116.0000,Top,0.00
