Designator,Mid X(mm),Mid Y(mm),Layer,Rotation
C1,174.0000,-135.0000,Top,0.00
C2,174.0000,-104.0000,Top,0.00
D1,174.0000,-123.0000,Top,90.00
D2,138.0000,-97.0000,Top,0.00
D3,162.0000,-97.0000,Top,180.00
F1,174.0000,-111.0000,Top,90.00
J1,124.7200,-114.8600,Bottom,180.00
J2,158.0000,-145.3000,Bottom,180.00
Q1,174.0000,-117.0000,Top,0.00
Q2,151.0000,-101.0000,Top,90.00
R1,174.0000,-129.0000,Top,90.00
R2,174.0000,-97.0000,Top,90.00
R3,151.0000,-106.0000,Top,90.00
R4,169.0000,-97.0000,Top,90.00
