Designator,Mid X(mm),Mid Y(mm),Layer,Rotation
C1,174.0000,-135.0000,Top,0.00
C2,170.0000,-109.0000,Top,0.00
C3,128.0000,-127.0000,Top,90.00
C4,131.0000,-128.0000,Top,0.00
C5,135.0000,-121.0000,Top,90.00
C6,141.0000,-115.5000,Top,0.00
C7,141.0000,-112.5000,Top,0.00
D1,174.0000,-123.0000,Top,90.00
D2,138.0000,-97.0000,Top,0.00
D3,162.0000,-97.0000,Top,180.00
F1,174.0000,-111.0000,Top,90.00
J1,124.7200,-114.8600,Bottom,180.00
J2,158.0000,-145.3000,Bottom,180.00
Q1,174.0000,-117.0000,Top,0.00
Q2,168.0000,-129.0000,Top,90.00
R1,174.0000,-129.0000,Top,90.00
R2,148.0000,-115.0000,Top,0.00
R3,145.0000,-109.0000,Top,0.00
R4,149.0000,-109.0000,Top,0.00
R5,153.0000,-109.0000,Top,0.00
U1,131.0000,-123.0000,Top,0.00
U2,141.0000,-109.0000,Top,0.00
