Designator,Mid X(mm),Mid Y(mm),Layer,Rotation
C1,124.0000,-112.0000,Top,0.00
C2,122.0000,-105.0000,Top,0.00
C3,141.0000,-107.0000,Top,0.00
C4,141.0000,-112.0000,Top,0.00
C5,113.0000,-112.0000,Top,90.00
C6,113.0000,-128.0000,Top,90.00
C7,190.0000,-116.0000,Top,90.00
C8,190.0000,-124.0000,Top,90.00
L1,135.0000,-108.0000,Top,0.00
R1,131.0000,-113.0000,Top,90.00
R2,135.0000,-113.0000,Top,90.00
U1,128.0000,-108.0000,Top,0.00
U2,118.0000,-112.0000,Top,0.00
U3,118.0000,-128.0000,Top,0.00
U4,182.0000,-111.0000,Top,0.00
U5,182.0000,-129.0000,Top,0.00
