Designator,Mid X(mm),Mid Y(mm),Layer,Rotation
C1,130.0000,-130.0000,Top,0.00
C2,133.0000,-115.5000,Top,0.00
C3,150.0000,-115.5000,Top,0.00
C4,167.0000,-115.5000,Top,0.00
D1,133.0000,-110.5000,Top,0.00
D2,150.0000,-110.5000,Top,0.00
D3,167.0000,-110.5000,Top,0.00
D4,129.0000,-122.0000,Top,0.00
D5,171.0000,-122.0000,Top,0.00
Q1,150.0000,-128.0000,Top,0.00
R1,138.0000,-130.0000,Top,0.00
R2,157.0000,-128.0000,Top,90.00
R3,138.0000,-122.0000,Top,90.00
R4,162.0000,-122.0000,Top,90.00
U1,133.0000,-104.0000,Top,0.00
U2,150.0000,-104.0000,Top,0.00
U3,167.0000,-104.0000,Top,0.00
